bill_id,people_id,position
1636497,23213,38
1636497,23215,50
1636497,23216,51
1636497,23217,52
1636497,23218,60
1636497,23219,62
1636497,23220,63
1636497,23221,64
1636497,23222,65
1636497,23223,67
1636497,23224,79
1636497,23231,70
1636497,23906,72
1636498,21725,1
1636498,23202,2
1636499,16308,1
1636500,16308,1
1636501,10959,1
1636502,14101,1
1636503,18075,1
1636504,14122,1
1636505,14123,9
1636505,16295,6
1636505,18066,4
1636505,19330,3
1636505,21440,7
1636505,23203,1
1636505,23209,2
1636505,23211,5
1636505,23218,8
1636506,16295,1
1636507,1561,1
1636508,23204,1
1636509,1551,5
1636509,11611,3
1636509,14099,2
1636509,14125,8
1636509,16221,1
1636509,16309,4
1636509,21720,7
1636509,21728,6
1636510,16295,1
1636511,18065,1
1636512,14122,1
1636513,16295,1
1636514,18065,1
1636977,18065,1
1636977,18070,6
1636977,19723,7
1636977,21719,3
1636977,21725,2
1636977,23099,4
1636977,23128,8
1636977,23217,5
1636978,18065,1
1636979,14099,4
1636979,14117,10
1636979,16221,12
1636979,16287,1
1636979,16295,13
1636979,18066,3
1636979,18069,8
1636979,21718,5
1636979,21720,15
1636979,21728,14
1636979,23203,2
1636979,23206,6
1636979,23207,7
1636979,23209,9
1636979,23211,11
1636980,22932,1
1636981,22932,1
1636982,11611,8
1636982,14123,17
1636982,16221,10
1636982,16287,7
1636982,16293,12
1636982,16294,13
1636982,16295,1
1636982,18066,3
1636982,18069,6
1636982,21720,14
1636982,21722,16
1636982,23203,2
1636982,23206,4
1636982,23207,5
1636982,23211,9
1636982,23212,11
1636982,23222,15
1636983,18079,1
1636984,16295,1
1636985,16295,1
1636985,19459,2
1636985,23209,3
1636986,14123,11
1636986,16221,7
1636986,16287,6
1636986,16293,8
1636986,16294,9
1636986,16295,1
1636986,18066,3
1636986,18069,5
1636986,21440,10
1636986,23203,2
1636986,23206,4
1636987,1504,4
1636987,1561,1
1636987,10959,3
1636987,18075,7
1636987,19719,9
1636987,19723,11
1636987,19726,6
1636987,21727,8
1636987,22932,5
1636987,23226,2
1636987,23231,10
1636988,1556,1
1636988,16221,8
1636988,16285,7
1636988,16299,9
1636988,16304,3
1636988,18070,11
1636988,19725,4
1636988,19728,2
1636988,21725,6
1636988,23205,5
1636988,23219,10
1637035,11611,1
1637227,14116,1
1637228,1561,1
1637229,14107,28
1637229,14109,33
1637229,14112,40
1637229,14117,32
1637229,14118,51
1637229,14122,62
1637229,14123,66
1637229,16087,55
1637229,16286,24
1637229,16287,23
1637229,16288,25
1637229,16291,30
1637229,16293,36
1637229,16294,37
1637229,16295,41
1637229,16296,42
1637229,16299,57
1637229,16303,73
1637229,16309,1
1637229,18064,53
1637229,18065,35
1637229,18066,17
1637229,18067,3
1637229,18069,21
1637229,18072,26
1637229,18073,10
1637229,18077,22
1637229,18078,11
1637229,18079,16
1637229,19330,65
1637229,19459,6
1637229,19487,70
1637229,19659,39
1637229,19716,8
1637229,19717,12
1637229,19719,50
1637229,19720,52
1637229,19721,54
1637229,19723,71
1637229,21440,44
1637229,21717,9
1637229,21718,19
1637229,21722,64
1637229,21723,68
1637229,22654,15
1637229,22918,69
1637229,22932,14
1637229,22948,13
1637229,23099,45
1637229,23128,72
1637229,23137,27
1637229,23152,5
1637229,23155,43
1637229,23202,2
1637229,23203,4
1637229,23204,7
1637229,23205,18
1637229,23207,20
1637229,23209,29
1637229,23210,31
1637229,23212,34
1637229,23213,38
1637229,23214,46
1637229,23215,47
1637229,23216,48
1637229,23217,49
1637229,23218,56
1637229,23219,58
1637229,23220,59
1637229,23221,60
1637229,23222,61
1637229,23223,63
1637229,23224,74
1637229,23906,67
1637230,14107,25
1637230,14109,30
1637230,14112,36
1637230,14118,44
1637230,14120,46
1637230,14122,56
1637230,14123,61
1637230,16087,49
1637230,16286,21
1637230,16287,20
1637230,16288,22
1637230,16291,27
1637230,16293,32
1637230,16294,33
1637230,16295,37
1637230,16299,51
1637230,16309,1
1637230,18064,47
1637230,18065,31
1637230,18066,12
1637230,18067,3
1637230,18069,17
1637230,18072,23
1637230,18073,7
1637230,18077,18
1637230,18078,8
1637230,19330,60
1637230,19487,64
1637230,19658,19
1637230,19659,35
1637230,19717,9
1637230,19719,43
1637230,19720,45
1637230,19721,48
1637230,19723,65
1637230,19728,57
1637230,21440,39
1637230,21717,6
1637230,21718,15
1637230,21722,59
1637230,21725,14
1637230,22654,11
1637230,22918,63
1637230,22932,10
1637230,23099,40
1637230,23128,66
1637230,23137,24
1637230,23155,38
1637230,23202,2
1637230,23203,4
1637230,23204,5
1637230,23205,13
1637230,23207,16
1637230,23209,26
1637230,23210,28
1637230,23211,29
1637230,23213,34
1637230,23215,41
1637230,23217,42
1637230,23218,50
1637230,23219,52
1637230,23220,53
1637230,23221,54
1637230,23222,55
1637230,23223,58
1637230,23224,67
1637230,23906,62
1637884,21723,1
1637971,14123,1
1638405,16087,1
1638406,16087,1
1638548,19717,1
1638548,19719,3
1638548,21723,4
1638548,22918,5
1638548,23227,2
1638549,18077,2
1638549,19717,1
1638550,14116,1
1638551,11611,1
1638684,16287,7
1638684,16295,8
1638684,18069,6
1638684,21718,1
1638684,21728,3
1638684,23203,4
1638684,23206,5
1638684,23209,2
1638684,23218,9
1638685,21718,1
1638686,14117,8
1638686,14118,12
1638686,16303,20
1638686,18065,10
1638686,18078,5
1638686,19487,18
1638686,19720,13
1638686,21722,17
1638686,23128,19
1638686,23152,4
1638686,23155,11
1638686,23202,2
1638686,23203,3
1638686,23206,6
1638686,23209,7
1638686,23212,9
1638686,23215,1
1638686,23219,14
1638686,23220,15
1638686,23221,16
1638686,23224,21
1639062,21723,1
1639063,22918,1
1639064,21726,2
1639064,23202,1
1639064,23217,3
1639064,23224,4
1639065,19720,1
1639065,23137,2
1639066,18067,3
1639066,19733,4
1639066,22918,1
1639066,23217,2
1639066,23219,5
1639067,14109,30
1639067,14112,38
1639067,14116,44
1639067,14118,50
1639067,14120,52
1639067,16087,55
1639067,16286,21
1639067,16287,20
1639067,16288,22
1639067,16291,27
1639067,16293,33
1639067,16294,35
1639067,16295,39
1639067,16296,40
1639067,16299,57
1639067,16303,68
1639067,18064,53
1639067,18065,32
1639067,18067,3
1639067,18069,17
1639067,18072,23
1639067,18073,9
1639067,18077,18
1639067,18078,10
1639067,19459,6
1639067,19487,66
1639067,19658,19
1639067,19659,37
1639067,19716,8
1639067,19717,11
1639067,19719,49
1639067,19720,51
1639067,19721,54
1639067,19723,67
1639067,21440,42
1639067,21718,14
1639067,21719,34
1639067,21722,63
1639067,21723,65
1639067,22654,12
1639067,23099,43
1639067,23128,1
1639067,23137,24
1639067,23152,5
1639067,23155,41
1639067,23202,2
1639067,23203,4
1639067,23204,7
1639067,23205,13
1639067,23206,15
1639067,23207,16
1639067,23208,25
1639067,23209,26
1639067,23210,28
1639067,23211,29
1639067,23212,31
1639067,23213,36
1639067,23214,45
1639067,23215,46
1639067,23216,47
1639067,23217,48
1639067,23218,56
1639067,23219,58
1639067,23220,59
1639067,23221,60
1639067,23222,61
1639067,23223,62
1639067,23224,69
1639067,23906,64
1639202,18065,2
1639202,21719,1
1639203,21723,1
1639204,22918,1
1639205,14109,29
1639205,14112,36
1639205,14116,41
1639205,14117,27
1639205,14120,47
1639205,14122,56
1639205,16087,49
1639205,16286,20
1639205,16287,19
1639205,16288,21
1639205,16291,25
1639205,16293,32
1639205,16294,33
1639205,16295,37
1639205,16296,38
1639205,16299,51
1639205,16303,64
1639205,18065,31
1639205,18067,2
1639205,18069,17
1639205,18072,22
1639205,18073,8
1639205,18077,18
1639205,18078,9
1639205,18079,13
1639205,19330,59
1639205,19459,4
1639205,19487,62
